,,,,,,,,,SARS-CoV-2_WT (984),,,,,,,,,,SARS-CoV-2_α (21528),,,,,,,,,,SARS-CoV-2_β (22131),,,,,,,,,,SARS-CoV-2_δ (25853_23),,,,,,,,,,,SARS-CoV-2_BA.1 (26335),,,,,,,,,,SARS-CoV-2_BA.2 (26729_12),,,,,,,,,,,SARS-CoV-2_BA.2 (26729_2),,,,,,,,,,rSARS-CoV-2_B.1+E484K,,,,,,,,,,SARS-CoV-2_BA.4,,,,,,,,,,,,SARS-CoV-2_BA.5,,,,,,,,,,SARS-CoV-2_Mu,,,,,,BQ.1.18,,,,,,,,,,,BF.7,,,,,,,,,,BN.1.3.1,,,,,,,,,,,XBB.2,,,,,,,,,,,EG.5.1 (V140),,,,,,,,,,BA.2.86 (V139),,,,,,,,,,JN.1 (V148),,,,,,,,,,JN.1 (V148)-2,,,,,,,,,
sample ID,Infektion Hamster,,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle (VK) 230331,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120
3.2,Beta (22131),PFU Ansatz 1,x,,,nd,nd,nd,0,1,19,30,48,>50,x,nd,nd,nd,0,0,0,1,4,8,x,nd,nd,nd,0,0,1,4,12,26,x,nd,nd,nd,0,5,14,23,37,32,x,,nd,nd,nd,7,26,33,>50,>50,>50,x,nd,nd,nd,3,17,36,41,45,60,x,,nd,nd,nd,4,11,24,34,49,60,x,nd,nd,nd,1,5,16,26,26,45,x,nd,0,13,47,64,58,61,68,79,x,,,nd,2,34,77,88,111,111,111,111,x,nd,0,0,0,3,3,20,27,38,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,0,10,28,49,>50,x,nd,nd,nd,0,0,0,4,6,13,x,nd,nd,nd,0,0,0,3,8,19,x,nd,nd,nd,1,10,18,19,27,37,x,,nd,nd,nd,9,23,40,>50,>50,>50,x,nd,nd,nd,0,12,21,35,44,57,x,,nd,nd,nd,0,16,27,32,44,65,x,nd,nd,nd,0,7,13,30,29,37,x,nd,0,12,56,57,68,69,70,36,x,,,nd,4,27,63,80,111,111,111,111,x,nd,0,0,0,1,5,18,30,40,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,14.5,29,48.5,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,2.5,5,10.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.5,3.5,10,22.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0.5,7.5,16,21,32,34.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,8,24.5,36.5,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,1.5,14.5,28.5,38,44.5,58.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,2,13.5,25.5,33,46.5,62.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0.5,6,14.5,28,27.5,41,x,#DIV/0!,0,12.5,51.5,60.5,63,65,69,57.5,x,,,#DIV/0!,3,30.5,70,84,111,111,111,111,x,#DIV/0!,0,0,0,2,4,19,28.5,39,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,99.11111111,74.22222222,48.44444444,13.77777778,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,88.0952381,76.19047619,50,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,98.81,91.67,76.19,46.43,x,#DIV/0!,#DIV/0!,#DIV/0!,97.9,68.53,32.87,11.89,-34.27,-44.76,x,,#DIV/0!,#DIV/0!,#DIV/0!,85.84070796,56.63716814,35.39823009,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,96.36363636,64.84848485,30.90909091,7.878787879,-7.878787879,-41.81818182,x,,#DIV/0!,#DIV/0!,#DIV/0!,96.92,79.18,60.67,49.1,28.28,3.6,x,#DIV/0!,#DIV/0!,#DIV/0!,99.05,88.63,72.51,46.92,47.87,22.27,x,#DIV/0!,100,82.14,26.43,13.57,10,7.14,1.43,17.86,x,,,#DIV/0!,97.32,72.73,37.41,24.89,0.75,0.75,0.75,0.75,x,#DIV/0!,100,100,100,95.64,91.27,58.55,37.82,14.91,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3.3,Beta (22131),PFU Ansatz 1,x,,,nd,nd,nd,0,4,12,37,58,>50,x,nd,nd,nd,0,0,0,0,11,6,x,nd,nd,nd,0,0,0,0,6,25,x,nd,nd,nd,1,5,9,13,22,26,x,,nd,nd,nd,4,19,39,>50,>50,>50,x,nd,nd,nd,1,7,25,36,49,38,x,,nd,nd,nd,1,9,24,31,47,57,x,nd,nd,nd,2,9,19,23,41,36,x,nd,0,2,29,43,56,70,70,70,x,,,nd,0,1,19,51,62,63,111,111,x,nd,0,0,0,0,1,18,26,28,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,0,9,40,55,>50,x,nd,nd,nd,0,0,0,3,8,15,x,nd,nd,nd,0,0,0,1,12,18,x,nd,nd,nd,2,4,15,19,28,24,x,,nd,nd,nd,5,15,44,>50,>50,>50,x,nd,nd,nd,1,7,18,34,53,32,x,,nd,nd,nd,0,11,18,35,43,45,x,nd,nd,nd,0,4,13,22,33,37,x,nd,1,5,18,46,56,70,70,70,x,,,nd,0,5,17,28,53,90,111,111,x,nd,0,0,0,0,3,10,19,24,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,2,10.5,38.5,56.5,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,1.5,9.5,10.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0.5,9,21.5,x,#DIV/0!,#DIV/0!,#DIV/0!,1.5,4.5,12,16,25,25,x,,#DIV/0!,#DIV/0!,#DIV/0!,4.5,17,41.5,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,1,7,21.5,35,51,35,x,,#DIV/0!,#DIV/0!,#DIV/0!,0.5,10,21,33,45,51,x,#DIV/0!,#DIV/0!,#DIV/0!,1,6.5,16,22.5,37,36.5,x,#DIV/0!,0.5,3.5,23.5,44.5,56,70,70,70,x,,,#DIV/0!,0,3,18,39.5,57.5,76.5,111,111,x,#DIV/0!,0,0,0,0,2,14,22.5,26,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,96.44444444,81.33333333,31.55555556,-0.444444444,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,92.85714286,54.76190476,50,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,98.81,78.57,48.81,x,#DIV/0!,#DIV/0!,#DIV/0!,93.71,81.12,49.65,32.87,-4.9,-4.9,x,,#DIV/0!,#DIV/0!,#DIV/0!,92.03539823,69.91150442,26.54867257,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,97.57575758,83.03030303,47.87878788,15.15151515,-23.63636364,15.15151515,x,,#DIV/0!,#DIV/0!,#DIV/0!,99.23,84.58,67.61,49.1,30.59,21.34,x,#DIV/0!,#DIV/0!,#DIV/0!,98.1,87.68,69.67,57.35,29.86,30.81,x,#DIV/0!,99.29,95,66.43,36.43,20,0,0,0,x,,,#DIV/0!,100,97.32,83.9,64.68,48.58,31.59,0.75,0.75,x,#DIV/0!,100,100,100,100,95.64,69.45,50.91,43.27,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4.1,Delta (25853_19),PFU Ansatz 1,x,,,nd,nd,nd,0,0,0,7,12,17,x,nd,nd,nd,0,0,0,0,2,2,x,nd,nd,nd,0,0,1,3,5,12,x,nd,nd,nd,0,0,0,0,0,4,x,,nd,nd,nd,0,5,11,18,34,35,x,nd,nd,nd,0,0,3,10,26,36,x,,nd,nd,nd,0,1,5,17,34,34,x,nd,nd,nd,0,0,0,4,14,20,x,nd,nd,nd,0,0,10,38,57,68,x,,,nd,nd,nd,0,2,17,52,75,76,x,nd,nd,0,0,0,0,2,8,42,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,0,0,2,5,32,x,nd,nd,nd,0,0,0,0,1,2,x,nd,nd,nd,0,0,0,0,5,16,x,nd,nd,nd,0,0,0,0,0,6,x,,nd,nd,nd,0,5,8,17,27,49,x,nd,nd,nd,0,0,1,8,27,26,x,,nd,nd,nd,0,1,7,13,20,36,x,nd,nd,nd,0,0,0,2,16,22,x,nd,nd,nd,0,2,10,24,53,70,x,,,nd,nd,nd,0,0,16,43,74,83,x,nd,nd,0,0,0,0,1,20,39,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,4.5,8.5,24.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,1.5,2,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.5,1.5,5,14,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,5,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,5,9.5,17.5,30.5,42,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2,9,26.5,31,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,1,6,15,27,35,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,3,15,21,x,#DIV/0!,#DIV/0!,#DIV/0!,0,1,10,31,55,69,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,1,16.5,47.5,74.5,79.5,x,#DIV/0!,#DIV/0!,0,0,0,0,1.5,14,40.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,Plaque reduction (%),x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,92,84.88888889,56.44444444,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,100,92.85714286,90.47619048,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,98.81,96.43,88.1,66.67,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,100,100,79.02,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,91.15044248,83.18584071,69.02654867,46.01769912,25.66371681,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,95.15151515,78.18181818,35.75757576,24.84848485,x,,#DIV/0!,#DIV/0!,#DIV/0!,100,98.46,90.75,76.86,58.35,46.02,x,#DIV/0!,#DIV/0!,#DIV/0!,100,100,100,94.31,71.56,60.19,x,#DIV/0!,#DIV/0!,#DIV/0!,100,98.57,85.71,55.71,21.43,1.43,x,,,#DIV/0!,#DIV/0!,#DIV/0!,100,99.11,85.25,57.53,33.38,28.91,x,#DIV/0!,#DIV/0!,100,100,100,100,96.73,69.45,11.64,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4.2,Delta (25853_19),PFU Ansatz 1,x,,,nd,nd,nd,0,0,1,14,28,40,x,nd,nd,nd,0,0,0,0,4,4,x,nd,nd,nd,0,0,2,13,27,22,x,nd,nd,nd,0,0,0,0,1,6,x,,nd,nd,nd,0,5,11,18,34,49,x,nd,nd,nd,0,1,4,26,33,31,x,,nd,nd,nd,0,5,8,36,35,58,x,nd,nd,nd,0,2,14,28,28,40,x,nd,nd,nd,7,20,45,74,70,70,x,,,nd,nd,nd,5,42,85,105,111,111,x,nd,nd,0,0,2,11,22,34,30,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,PFU Ansatz 2,x,,,nd,nd,nd,0,0,2,12,31,41,x,nd,nd,nd,0,0,1,1,4,10,x,nd,nd,nd,0,0,6,9,21,35,x,nd,nd,nd,0,0,0,0,0,13,x,,nd,nd,nd,0,5,8,17,27,35,x,nd,nd,nd,0,9,8,22,37,35,x,,nd,nd,nd,0,4,7,32,31,44,x,nd,nd,nd,1,2,17,21,29,37,x,nd,nd,nd,3,21,52,64,70,70,x,,,nd,nd,nd,8,49,78,111,111,111,x,nd,nd,0,0,4,11,27,40,32,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd,x,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,AVG,x,,,#DIV/0!,#DIV/0!,#DIV/0!,0,0,1.5,13,29.5,40.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.5,0.5,4,7,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,4,11,24,28.5,x,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0.5,9.5,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,5,9.5,17.5,30.5,42,x,#DIV/0!,#DIV/0!,#DIV/0!,0,5,6,24,35,33,x,,#DIV/0!,#DIV/0!,#DIV/0!,0,4.5,7.5,34,33,51,x,#DIV/0!,#DIV/0!,#DIV/0!,0.5,2,15.5,24.5,28.5,38.5,x,#DIV/0!,#DIV/0!,#DIV/0!,5,20.5,48.5,69,70,70,x,,,#DIV/0!,#DIV/0!,#DIV/0!,6.5,45.5,81.5,108,111,111,x,#DIV/0!,#DIV/0!,0,0,3,11,24.5,37,31,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
